Design,Bits,LUTs,Registers,Block RAM Tile,DSPs,Bonded IOB,Timing (ns),Mean Abs Error vs Keras,Latency (cycles)
Handmade,8,,,,,,1.174,0.03,19225.0
HLS4ML,8,,,,,,0.254,0.1096,
