test,layer,n,keras_vs_hls_mean,keras_vs_rtl_mean,hls_vs_rtl_mean
populated9,conv0,12684,0.0003486183380637023,0.0013328800063071586,0.0009842616682434564
populated9,pool0,726,0.0005380509641873278,0.0021737258953168043,0.0016356749311294766
populated9,conv1,648,0.039954668209876545,0.015986689814814815,0.04996141975308642
populated9,pool1,128,0.0748291015625,0.0323486328125,0.09912109375
populated9,conv2,40,0.087109375,0.031640625,0.11875
populated9,pool2,10,0.090625,0.05625,0.146875
populated9,dense0,15,0.37604166666666666,0.21614583333333334,0.5916666666666667
populated9,relu0,15,0.109375,0.057291666666666664,0.16666666666666666
populated9,dense1,10,0.23740234375,0.1568359375,0.384375
populated9,relu1,10,0.084375,0.01875,0.09375
populated9,final,5,0.128515625,0.02421875,0.1375
populated10,conv0,12684,0.0003276766004415011,0.0012823734626300851,0.0009546968621885841
populated10,pool0,726,0.00043044077134986227,0.0019800275482093664,0.0015495867768595042
populated10,conv1,648,0.03850790895061729,0.015745563271604937,0.048659336419753084
populated10,pool1,128,0.07470703125,0.03466796875,0.100830078125
populated10,conv2,40,0.10859375,0.0390625,0.14765625
populated10,pool2,10,0.109375,0.053125,0.1625
populated10,dense0,15,0.3203125,0.17552083333333332,0.4875
populated10,relu0,15,0.10208333333333333,0.058333333333333334,0.16041666666666668
populated10,dense1,10,0.22158203125,0.13837890625,0.31875
populated10,relu1,10,0.078125,0.025,0.1
populated10,final,5,0.11015625,0.05234375,0.1125
populated11,conv0,12684,0.00024637338379060236,0.0009842616682434564,0.000737888284452854
populated11,pool0,726,0.00043044077134986227,0.001700241046831956,0.0012698002754820937
populated11,conv1,648,0.032624421296296294,0.014009452160493827,0.04113618827160494
populated11,pool1,128,0.0631103515625,0.0286865234375,0.084716796875
populated11,conv2,40,0.093359375,0.043359375,0.13671875
populated11,pool2,10,0.0921875,0.0546875,0.146875
populated11,dense0,15,0.330078125,0.2,0.5270833333333333
populated11,relu0,15,0.1,0.05416666666666667,0.15416666666666667
populated11,dense1,10,0.189892578125,0.152197265625,0.334375
populated11,relu1,10,0.0640625,0.0109375,0.075
populated11,final,5,0.11513671875,0.01611328125,0.13125
populated12,conv0,12684,0.0003707919426048565,0.0014338930936613056,0.0010631011510564491
populated12,pool0,726,0.0005380509641873278,0.002302858126721763,0.0017648071625344353
populated12,conv1,648,0.04226948302469136,0.01637249228395062,0.05343364197530864
populated12,pool1,128,0.0814208984375,0.0328369140625,0.107421875
populated12,conv2,40,0.117578125,0.043359375,0.1609375
populated12,pool2,10,0.103125,0.053125,0.15625
populated12,dense0,15,0.34837239583333335,0.19283854166666667,0.5333333333333333
populated12,relu0,15,0.10416666666666667,0.05625,0.16041666666666668
populated12,dense1,10,0.219775390625,0.147314453125,0.3125
populated12,relu1,10,0.0765625,0.0234375,0.078125
populated12,final,5,0.114453125,0.0533203125,0.1
populated13,conv0,12684,0.0003091985966572059,0.0012417218543046358,0.0009325232576474299
populated13,pool0,726,0.0004519628099173554,0.0019369834710743802,0.0014850206611570248
populated13,conv1,648,0.03698881172839506,0.015914351851851853,0.04677854938271605
populated13,pool1,128,0.07275390625,0.031982421875,0.098388671875
populated13,conv2,40,0.0921875,0.0375,0.1296875
populated13,pool2,10,0.09375,0.05625,0.15
populated13,dense0,15,0.3606770833333333,0.21223958333333334,0.5729166666666666
populated13,relu0,15,0.10520833333333333,0.059375,0.16458333333333333
populated13,dense1,10,0.209423828125,0.145361328125,0.35
populated13,relu1,10,0.071875,0.015625,0.0875
populated13,final,5,0.12060546875,0.02080078125,0.1375
populated14,conv0,12684,0.00017246136865342165,0.0006664400031535793,0.0004939786345001577
populated14,pool0,726,0.0003443526170798898,0.001334366391184573,0.0009900137741046832
populated14,conv1,648,0.025028935185185185,0.011525848765432098,0.030719521604938273
populated14,pool1,128,0.049560546875,0.02197265625,0.064453125
populated14,conv2,40,0.08671875,0.0171875,0.10390625
populated14,pool2,10,0.0890625,0.0265625,0.115625
populated14,dense0,15,0.23092447916666667,0.0869140625,0.28958333333333336
populated14,relu0,15,0.0625,0.020833333333333332,0.08333333333333333
populated14,dense1,10,0.175830078125,0.079345703125,0.190625
populated14,relu1,10,0.06875,0.0125,0.065625
populated14,final,5,0.08291015625,0.01923828125,0.075
