Width, Accuracy
"4_2", 0.2036
"7_3", 0.3967
"4_2", 0.2036
"7_3", 0.3967
"10_4", 0.6587
"13_5", 0.7659
"16_6", 0.7697
"19_7", 0.7699
"22_8", 0.7697
"25_9", 0.7698
"28_10", 0.7698
"31_11", 0.7698
"34_12", 0.7698
"37_13", 0.7698
