Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing
4,0.45,0.21,0.00,0.04,10.58,2.366
7,1.58,0.55,0.00,0.04,18.15,1.995
10,4.14,1.06,0.00,0.48,25.72,0.826
13,3.14,0.82,0.00,18.86,33.29,0.669
16,3.59,0.89,0.00,24.38,40.87,0.685
19,4.35,1.03,0.00,27.11,48.44,0.659
22,5.38,1.22,0.00,28.37,56.01,0.773
25,6.17,1.35,0.00,30.53,63.58,0.712
28,40.44,3.94,0.00,9.19,71.15,0.063
31,29.34,3.16,0.00,32.14,78.73,0.100
34,22.74,2.69,0.00,46.48,86.30,0.047
37,28.00,4.52,0.00,52.84,93.87,0.091
