4,0.19992168674698796
7,0.42003614457831323
10,0.6648012048192771
13,0.7615602409638554
16,0.7650722891566265
19,0.7652831325301205
22,0.7653313253012048
25,0.7653313253012048
31,0.73
34,0.17
34,0.24
34,0.24
34,0.24
34,0.24
31,0.17
16,0.74
31,0.73
31,0.73
34,0.73
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
7,0.442
10,0.682
13,0.77
16,0.756
19,0.752
22,0.752
25,0.752
28,0.754
31,0.754
34,0.754
37,0.754
4,0.206
"4_2",0.21
"7_3",0.43
"10_4",0.672
"13_5",0.777
"16_6",0.774
"18_6",0.771
"20_6",0.77
"22_6",0.77
"24_6",0.771
"26_6",0.771
"28_6",0.771
"30_6",0.771
