Width,Accuracy
"4_2",0.4
"7_3",0.4
"10_4",0.6
"13_5",0.8
"16_6",0.8
"16_6",0.0
"4_2",0.201289156626506
"7_3",0.20164910064168634
"10_4",0.6
"13_5",0.8
"16_6",0.0
"4_2",0.201289156626506
"7_3",0.4189036144578313
"10_4",0.6619759036144578
"13_5",0.7607650602409639
"16_6",0.7639036144578313
"19_7",0.7640421686746988
"22_8",0.764066265060241
"25_9",0.764078313253012
"28_10",0.7640843373493976
"31_11",0.7641024096385542
"34_12",0.7641024096385542
"37_13",0.7641024096385542
