Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.51, 0.07, 0.00, 0.00, 10.58, 1.697, 0.2044
7, 1.77, 0.27, 0.00, 0.00, 18.15, 1.042, 0.3936
10, 3.40, 0.65, 0.00, 0.00, 25.72, 0.472, 0.6552
13, 4.08, 0.77, 0.00, 7.25, 33.29, 0.370, 0.7666
16, 5.77, 1.01, 0.00, 9.24, 40.87, 0.133, 0.7708
19, 8.31, 1.33, 0.00, 9.42, 48.44, -0.093, 0.7708
22, 10.95, 1.52, 0.00, 11.44, 56.01, 0.009, 0.7708
25, 13.66, 1.81, 0.00, 12.22, 63.58, -0.376, 0.7708
28, 30.69, 2.96, 0.00, 6.59, 71.15, -0.663, 0.7708
31, 26.57, 2.58, 0.00, 21.16, 78.73, -0.956, 0.7708
34, 26.35, 2.51, 0.00, 27.72, 86.30, -1.095, 0.7708
37, 34.50, 3.83, 0.00, 31.04, 93.87, -1.491, 0.7708
