Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.41, 0.18, 0.00, 0.00, 10.58, 2.415, 0.2036
4, 0.41, 0.18, 0.00, 0.00, 10.58, 2.415, 0.2036
4, 0.41, 0.18, 0.00, 0.00, 10.58, 2.415, 0.2036
4, 0.41, 0.18, 0.00, 0.00, 10.58, 2.415, 0.76
7, 1.57, 0.49, 0.00, 0.00, 18.15, 1.801, 0.76
10, 2.55, 0.78, 0.00, 0.00, 25.72, 0.980, 0.76
13, 4.15, 1.19, 0.00, 0.00, 33.29, 0.706, 0.76
16, 5.54, 1.50, 0.00, 0.00, 40.87, 0.326, 0.76
19, 8.16, 1.91, 0.00, 0.00, 48.44, 0.378, 0.76
22, 10.54, 2.19, 0.00, 0.00, 56.01, 0.106, 0.76
25, 13.45, 2.52, 0.00, 0.00, 63.58, 0.004, 0.76
28, 17.30, 2.89, 0.00, 0.00, 71.15, 0.030, 0.76
31, 18.98, 3.00, 0.00, 0.00, 78.73, 0.044, 0.76
34, 23.41, 3.34, 0.00, 0.00, 86.30, 0.016, 0.76
37, 26.62, 3.55, 0.00, 0.00, 93.87, -0.455, 0.76
