0,167285000,0
1,450825000,283540000
2,644315000,193490000
3,850485000,206170000
4,1043975000,193490000
5,1255185000,211210000
6,1461355000,206170000
7,1654845000,193490000
8,1848335000,193490000
9,2072225000,223890000
10,2265715000,193490000
11,2459205000,193490000
12,2665375000,206170000
13,2876585000,211210000
14,3070075000,193490000
15,3285615000,215540000
16,3479105000,193490000
17,3753275000,274170000
18,3946765000,193490000
19,4140255000,193490000
20,4333745000,193490000
21,4557635000,223890000
22,4751125000,193490000
23,4944615000,193490000
24,5150785000,206170000
25,5361995000,211210000
26,5568165000,206170000
27,5761655000,193490000
28,5955145000,193490000
29,6188405000,233260000
30,6381895000,193490000
31,6575385000,193490000
32,6768875000,193490000
33,7043045000,274170000
34,7236535000,193490000
35,7442705000,206170000
36,7636195000,193490000
37,7847405000,211210000
38,8053575000,206170000
39,8247065000,193490000
40,8440555000,193490000
41,8673815000,233260000
42,8867305000,193490000
43,9060795000,193490000
44,9266965000,206170000
45,9478175000,211210000
46,9671665000,193490000
47,9877835000,206170000
48,10071325000,193490000
49,10345495000,274170000
