0,12,14,11,11,32
1,18,15,13,13,30
2,23,14,18,18,28
3,12,14,11,11,32
4,13,14,10,10,31
5,15,15,6,6,31
6,12,14,12,12,32
7,15,15,10,10,31
8,16,15,11,11,31
9,17,15,12,12,30
10,18,15,13,13,30
11,12,14,12,12,32
12,16,15,11,11,31
13,18,15,7,7,30
14,13,16,9,9,33
15,19,15,12,12,29
16,20,15,15,15,29
17,13,16,9,9,33
18,15,14,11,11,30
19,13,16,9,9,33
20,14,15,10,10,32
21,14,15,6,6,32
22,13,16,9,9,33
23,18,15,10,10,30
24,15,15,8,8,31
25,12,14,11,11,32
26,17,15,12,12,30
27,13,16,9,9,33
28,15,15,8,8,31
29,17,15,5,5,31
30,13,16,6,6,33
31,15,15,10,10,31
32,15,15,8,8,31
33,14,15,9,9,32
34,14,15,9,9,32
35,14,15,10,10,32
36,14,15,9,9,32
37,17,15,7,7,30
38,15,15,6,6,31
39,14,15,6,6,32
40,17,15,9,9,30
41,14,14,11,11,31
42,16,15,11,11,31
43,14,15,9,9,32
44,15,15,8,8,31
45,17,15,10,10,30
46,18,15,9,9,30
47,14,15,6,6,32
48,14,15,6,6,32
49,14,15,6,6,32
