Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.42, 0.12, 0.58, 0.00, 3.97, 3.024, 0.5010526315789474
7, 1.55, 0.33, 0.58, 0.00, 6.49, 4.897, 0.5614035087719298
10, 3.25, 0.71, 0.58, 0.24, 9.01, 6.873, 0.39223057644110276
16, 4.68, 1.03, 0.58, 9.30, 14.06, 8.578, 0.6914786967418546
19, 6.77, 1.29, 0.58, 9.37, 16.59, 9.008, 0.633483709273183
22, 8.55, 1.43, 0.58, 10.87, 19.11, 9.147, 0.618796992481203
25, 9.90, 1.58, 0.58, 12.16, 21.63, 9.62, 0.6155388471177945
