Width, Accuracy
"4_2", 0.506240288707333
"7_3", 0.5840308756453311
"10_4", 0.49591499172973785
"13_5", 0.62197383589795
"16_6", 0.8182046012731191
"19_7", 0.8553957195128064
"22_8", 0.85880406997143
"25_9", 0.8586035787679815
"28_10", 0.8593554207809132
"31_11", 0.8591549295774648
"34_12", 0.8593052979800512
"37_13", 0.8595057891834996
