Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing,Accuracy,CycleLatency,TotalLatency
4,0.27,0.03,0.00,0.00,11.54,1.093,0.2022022022022022,8,31.256
7,0.96,0.08,0.02,0.04,19.11,0.972,0.23723723723723725,10,40.28
10,2.58,0.16,0.07,0.04,26.68,0.185,0.24624624624624625,12,57.78
13,3.04,0.20,0.07,8.89,34.25,0.015,0.7137137137137137,12,59.82000000000001
16,3.53,0.27,0.07,16.94,41.83,-0.627,0.7717717717717718,12,67.524
19,3.99,0.42,0.07,23.27,49.40,-1.344,0.7757757757757757,14,88.816
22,4.45,0.51,0.07,26.81,56.97,-1.278,0.7787787787787788,14,87.89200000000001
25,5.45,0.72,0.07,28.69,64.54,-1.287,0.7817817817817818,14,88.018
28,39.32,1.48,0.07,2.73,72.12,-2.280,0.7787787787787788,14,101.91999999999999
