Bits, Slice LUTs, Slice Registers, Block RAM Tile, DSPs, Bonded IOB, Timing, Accuracy
4, 0.81, 0.19, 0.00, 0.00, 11.54, 1.508, 0.21521521521521522
7, 2.69, 0.52, 0.02, 0.04, 19.11, 0.750, 0.3633633633633634
10, 7.74, 0.91, 0.07, 0.04, 26.68, 0.588, 0.7737737737737738
13, 9.05, 1.43, 0.07, 14.11, 34.25, 0.376, 0.7747747747747747
