Bits,SliceLUTs,SliceRegisters,BlockRAMTile,DSPs,BondedIOB,Timing
4,0.49,0.02,0.00,0.00,11.54,0.602
7,1.50,0.05,0.02,0.04,19.11,0.449
10,3.55,0.19,0.07,0.04,26.68,0.125
13,3.03,0.20,0.07,13.93,34.25,-0.514
16,3.31,0.27,0.07,20.96,41.83,-0.537
19,3.82,0.46,0.07,25.15,48.80,-0.721
22,4.46,0.60,0.07,27.34,54.57,-1.623
25,5.15,0.78,0.07,29.37,60.34,-2.642
28,37.94,1.54,0.07,9.16,66.11,-4.366
