0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
5,15,0,3,0,0,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,4,0,8,0,9,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,16,0,0,0,16,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,4,0,0,0,4,4,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
0,0,0,0,0,2,0,0
